,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.846360153256705,0.8073830409356725,0.8264122708567153,2736.0,,,,,,
5.0,0.8358452138492871,0.7889273356401384,0.8117088607594937,7803.0,,,,,,
6.0,0.8515730034955633,0.8044196088392177,0.827324973876698,7874.0,,,,,,
7.0,0.8798147341752108,0.940183594906722,0.908997955010225,23639.0,,,,,,
8.0,0.8334457181389077,0.5877318116975749,0.6893474623535973,2103.0,,,,,,
9.0,0.9130434782608695,0.84,0.875,25.0,,,,,,
accuracy,0.8642145767315528,0.8642145767315528,0.8642145767315528,0.8642145767315528,,,,,,
macro avg,0.8600137168627572,0.794774232003221,0.8231319204761215,44180.0,,,,,,
weighted avg,0.8627553269776109,0.8642145767315528,0.8616695434516013,44180.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2209.0,204.0,105.0,216.0,2.0,0.0
Actual_5.0,,,,,183.0,6156.0,400.0,1046.0,18.0,0.0
Actual_6.0,,,,,88.0,428.0,6334.0,995.0,29.0,0.0
Actual_7.0,,,,,117.0,550.0,553.0,22225.0,194.0,0.0
Actual_8.0,,,,,13.0,27.0,46.0,779.0,1236.0,2.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,4.0,21.0
