,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8414190418435415,0.7960413080895009,0.8181014150943396,3486.0,,,,,,
5.0,0.8107293550331525,0.7604885219947981,0.7848056949469017,8843.0,,,,,,
6.0,0.83763761703879,0.7699801380875816,0.8023851764242066,10573.0,,,,,,
7.0,0.8758945556662742,0.9405032099085663,0.9070498287965728,30842.0,,,,,,
8.0,0.8290816326530612,0.5772646536412078,0.680628272251309,2252.0,,,,,,
9.0,0.7333333333333333,0.7096774193548387,0.7213114754098361,31.0,,,,,,
accuracy,0.856194334874257,0.856194334874257,0.856194334874257,0.856194334874257,,,,,,
macro avg,0.8213492559280255,0.7589925418460822,0.7857136438205278,56027.0,,,,,,
weighted avg,0.8542840781641554,0.856194334874257,0.8532658023517056,56027.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2775.0,272.0,139.0,293.0,5.0,2.0
Actual_5.0,,,,,233.0,6725.0,574.0,1293.0,18.0,0.0
Actual_6.0,,,,,137.0,542.0,8141.0,1697.0,56.0,0.0
Actual_7.0,,,,,141.0,701.0,804.0,29007.0,188.0,1.0
Actual_8.0,,,,,12.0,54.0,59.0,822.0,1300.0,5.0
Actual_9.0,,,,,0.0,1.0,2.0,5.0,1.0,22.0
