,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8298843578819233,0.7558203991130821,0.7911227154046997,3608.0,,,,,,
5.0,0.7985134362492853,0.7460470085470086,0.7713891190278929,9360.0,,,,,,
6.0,0.8265964211100009,0.7303370786516854,0.7754910733307767,12460.0,,,,,,
7.0,0.8572527106349166,0.9378575434660684,0.8957454501627095,35660.0,,,,,,
8.0,0.8863313441318557,0.6982314752630401,0.7811169546706737,4467.0,,,,,,
9.0,0.9559471365638766,0.889344262295082,0.921443736730361,244.0,,,,,,
accuracy,0.8448456663475129,0.8448456663475129,0.8448456663475129,0.8448456663475129,,,,,,
macro avg,0.8590875677619764,0.7929396278893277,0.8227181748878523,65799.0,,,,,,
weighted avg,0.8439311358890197,0.8448456663475129,0.841860152070108,65799.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2727.0,325.0,174.0,369.0,13.0,0.0
Actual_5.0,,,,,235.0,6983.0,644.0,1475.0,23.0,0.0
Actual_6.0,,,,,149.0,661.0,9100.0,2499.0,51.0,0.0
Actual_7.0,,,,,165.0,722.0,1024.0,33444.0,302.0,3.0
Actual_8.0,,,,,10.0,52.0,67.0,1212.0,3119.0,7.0
Actual_9.0,,,,,0.0,2.0,0.0,14.0,11.0,217.0
