,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8687350835322196,0.8149253731343283,0.8409703504043127,1340.0,,,,,,
5.0,0.8494084620012031,0.81196089706728,0.8302626421011368,5217.0,,,,,,
6.0,0.8625307461054933,0.8142414860681114,0.8376907763769078,3876.0,,,,,,
7.0,0.8900018211619013,0.9450783214078515,0.9167135621834552,15513.0,,,,,,
8.0,0.842391304347826,0.6690647482014388,0.7457898957497995,2085.0,,,,,,
9.0,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0,,,,,,
accuracy,0.8754501693706543,0.8754501693706543,0.8754501693706543,0.8754501693706543,,,,,,
macro avg,0.8726907233709279,0.8187356138369779,0.8433860192840834,28045.0,,,,,,
weighted avg,0.8741146488953899,0.8754501693706543,0.8733700763007674,28045.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1092.0,125.0,27.0,89.0,7.0,0.0
Actual_5.0,,,,,83.0,4236.0,206.0,675.0,16.0,1.0
Actual_6.0,,,,,36.0,219.0,3156.0,425.0,40.0,0.0
Actual_7.0,,,,,43.0,376.0,237.0,14661.0,196.0,0.0
Actual_8.0,,,,,3.0,31.0,33.0,623.0,1395.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,2.0,12.0
