,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8461538461538461,0.786811958647667,0.8154046619371652,3579.0,,,,,,
5.0,0.8078199926226485,0.7524049473202016,0.7791283723688112,8732.0,,,,,,
6.0,0.8344056220924478,0.7671307671307671,0.799355205765219,10989.0,,,,,,
7.0,0.8759287415014774,0.9426401580637195,0.9080608466788598,32392.0,,,,,,
8.0,0.8398967075532602,0.5713658322353975,0.680083638264506,2277.0,,,,,,
9.0,0.8387096774193549,0.7647058823529411,0.8,34.0,,,,,,
accuracy,0.856455700567212,0.856455700567212,0.856455700567212,0.856455700567212,,,,,,
macro avg,0.8404857645571724,0.7641765909584489,0.7970054541690935,58003.0,,,,,,
weighted avg,0.8545350567899312,0.856455700567212,0.8533257586452678,58003.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2816.0,287.0,153.0,313.0,10.0,0.0
Actual_5.0,,,,,229.0,6570.0,599.0,1318.0,16.0,0.0
Actual_6.0,,,,,134.0,572.0,8430.0,1816.0,37.0,0.0
Actual_7.0,,,,,134.0,661.0,875.0,30534.0,185.0,3.0
Actual_8.0,,,,,15.0,43.0,45.0,871.0,1301.0,2.0
Actual_9.0,,,,,0.0,0.0,1.0,7.0,0.0,26.0
