,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8422774869109948,0.7683582089552239,0.803621604745551,1675.0,,,,,,
5.0,0.8260329845717326,0.7848357203032856,0.804907551408329,5935.0,,,,,,
6.0,0.8311461067366579,0.7883817427385892,0.8091993185689949,4820.0,,,,,,
7.0,0.8775293993007733,0.9364612775579424,0.906038066068694,17690.0,,,,,,
8.0,0.8296593186372746,0.6213106553276638,0.7105263157894737,1999.0,,,,,,
9.0,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0,,,,,,
accuracy,0.8578498505976095,0.8578498505976095,0.8578498505976095,0.8578498505976095,,,,,,
macro avg,0.7963456445976674,0.7980394156285989,0.7883241717490144,32128.0,,,,,,
weighted avg,0.8561557425675203,0.8578498505976095,0.8552648650598653,32128.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1287.0,150.0,66.0,160.0,12.0,0.0
Actual_5.0,,,,,120.0,4658.0,284.0,851.0,21.0,1.0
Actual_6.0,,,,,51.0,306.0,3800.0,624.0,39.0,0.0
Actual_7.0,,,,,61.0,496.0,383.0,16566.0,183.0,1.0
Actual_8.0,,,,,9.0,29.0,39.0,676.0,1242.0,4.0
Actual_9.0,,,,,0.0,0.0,0.0,1.0,0.0,8.0
