,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8612199216564074,0.8074501573976915,0.8334687246141349,1906.0,,,,,,
5.0,0.8360628342245989,0.8017628205128206,0.818553664921466,6240.0,,,,,,
6.0,0.846,0.8025042686397268,0.8236783175932236,5271.0,,,,,,
7.0,0.8850458808107291,0.9412332439678284,0.9122752312649413,18650.0,,,,,,
8.0,0.8324572930354797,0.6138565891472868,0.7066369213608478,2064.0,,,,,,
9.0,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0,,,,,,
accuracy,0.8670474516695957,0.8670474516695957,0.8670474516695957,0.8670474516695957,,,,,,
macro avg,0.8126950908519716,0.809282661425707,0.8036475978378902,34140.0,,,,,,
weighted avg,0.8654838678301815,0.8670474516695957,0.8645855827060271,34140.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1539.0,152.0,55.0,151.0,9.0,0.0
Actual_5.0,,,,,127.0,5003.0,300.0,778.0,31.0,1.0
Actual_6.0,,,,,55.0,312.0,4230.0,641.0,33.0,0.0
Actual_7.0,,,,,61.0,478.0,375.0,17554.0,181.0,1.0
Actual_8.0,,,,,5.0,39.0,40.0,710.0,1267.0,3.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,1.0,8.0
