,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8310282621767889,0.7716359575656058,0.8002316155182397,3582.0,,,,,,
5.0,0.8015705578996718,0.7411943210144142,0.7702010248324793,9227.0,,,,,,
6.0,0.8255437297547432,0.7342168079677339,0.7772065870872179,12149.0,,,,,,
7.0,0.8585930309007233,0.937110709262608,0.8961352657004831,34839.0,,,,,,
8.0,0.8658455392809588,0.6689814814814815,0.7547881601857226,3888.0,,,,,,
9.0,0.9053254437869822,0.8693181818181818,0.8869565217391304,176.0,,,,,,
accuracy,0.8444120824916616,0.8444120824916616,0.8444120824916616,0.8444120824916616,,,,,,
macro avg,0.8479844272999779,0.7870762431850041,0.8142531958438788,63861.0,,,,,,
weighted avg,0.8430909770286885,0.8444120824916616,0.8413043103898393,63861.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2764.0,296.0,172.0,345.0,5.0,0.0
Actual_5.0,,,,,247.0,6839.0,630.0,1487.0,23.0,1.0
Actual_6.0,,,,,150.0,638.0,8920.0,2390.0,50.0,1.0
Actual_7.0,,,,,157.0,700.0,1018.0,32648.0,309.0,7.0
Actual_8.0,,,,,8.0,58.0,65.0,1149.0,2601.0,7.0
Actual_9.0,,,,,0.0,1.0,0.0,6.0,16.0,153.0
