,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.824966078697422,0.8205128205128205,0.8227334235453315,741.0,,,,,,
5.0,0.8572854291417166,0.8698734177215189,0.8635335511435034,3950.0,,,,,,
6.0,0.8446969696969697,0.7341563786008231,0.7855570233377367,1215.0,,,,,,
7.0,0.9115670964227347,0.9509376775904528,0.930836269237901,10558.0,,,,,,
8.0,0.8473053892215568,0.5554465161923454,0.6710136336692353,1019.0,,,,,,
9.0,1.0,1.0,1.0,3.0,,,,,,
accuracy,0.8889969118151664,0.8889969118151664,0.8889969118151664,0.8889969118151664,,,,,,
macro avg,0.8809701605300666,0.8218211351029935,0.8456123168222845,17486.0,,,,,,
weighted avg,0.8872591629448924,0.8889969118151664,0.8858279195094355,17486.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,608.0,77.0,11.0,45.0,0.0,0.0
Actual_5.0,,,,,78.0,3436.0,68.0,362.0,6.0,0.0
Actual_6.0,,,,,20.0,145.0,892.0,146.0,12.0,0.0
Actual_7.0,,,,,28.0,327.0,79.0,10040.0,84.0,0.0
Actual_8.0,,,,,3.0,23.0,6.0,421.0,566.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0
