,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8461538461538461,0.8141732283464567,0.8298555377207063,635.0,,,,,,
5.0,0.8684759916492694,0.8858131487889274,0.8770589010409804,3757.0,,,,,,
6.0,0.8662650602409638,0.779826464208243,0.8207762557077626,922.0,,,,,,
7.0,0.9357704482793833,0.9530941237649506,0.9443528441879637,9615.0,,,,,,
8.0,0.8103448275862069,0.5081081081081081,0.6245847176079734,370.0,,,,,,
9.0,0.625,0.7142857142857143,0.6666666666666666,7.0,,,,,,
accuracy,0.9095126094342088,0.9095126094342088,0.9095126094342088,0.9095126094342088,,,,,,
macro avg,0.8253350289849449,0.7758834645837335,0.7938824871553423,15306.0,,,,,,
weighted avg,0.9081735152808921,0.9095126094342088,0.9077838674033096,15306.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,517.0,79.0,5.0,34.0,0.0,0.0
Actual_5.0,,,,,57.0,3328.0,45.0,321.0,5.0,1.0
Actual_6.0,,,,,7.0,85.0,719.0,106.0,5.0,0.0
Actual_7.0,,,,,28.0,332.0,59.0,9164.0,32.0,0.0
Actual_8.0,,,,,2.0,8.0,2.0,168.0,188.0,2.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,2.0,5.0
