,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8371467025572006,0.7794486215538847,0.8072680077871512,798.0,,,,,,
5.0,0.8437268917919645,0.8489583333333334,0.8463345283718631,4032.0,,,,,,
6.0,0.8313505948215535,0.7029585798816568,0.76178262263546,1690.0,,,,,,
7.0,0.8926804728766664,0.9396346306592533,0.9155559377418523,11331.0,,,,,,
8.0,0.8013605442176871,0.662915025323579,0.7255928549430243,1777.0,,,,,,
9.0,0.8461538461538461,1.0,0.9166666666666666,11.0,,,,,,
accuracy,0.8691379398136362,0.8691379398136362,0.8691379398136362,0.8691379398136362,,,,,,
macro avg,0.8420698420698196,0.8223191984586178,0.828866769691003,19639.0,,,,,,
weighted avg,0.8668068750517999,0.8691379398136362,0.8665237276838659,19639.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,622.0,92.0,20.0,57.0,7.0,0.0
Actual_5.0,,,,,70.0,3423.0,96.0,429.0,14.0,0.0
Actual_6.0,,,,,24.0,202.0,1188.0,249.0,27.0,0.0
Actual_7.0,,,,,25.0,308.0,107.0,10647.0,244.0,0.0
Actual_8.0,,,,,2.0,32.0,18.0,545.0,1178.0,2.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,11.0
