,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8531663187195546,0.8105785123966942,0.8313273436175623,3025.0,,,,,,
5.0,0.8221506761107534,0.7793920156269076,0.8002005515166708,8191.0,,,,,,
6.0,0.8444903413922974,0.792227034419877,0.8175242575713025,8774.0,,,,,,
7.0,0.8788697877247991,0.9370941090573723,0.9070485400781104,26023.0,,,,,,
8.0,0.8246194573130378,0.5885687293339632,0.6868798235942668,2117.0,,,,,,
9.0,0.9090909090909091,1.0,0.9523809523809523,20.0,,,,,,
accuracy,0.8606230529595016,0.8606230529595016,0.8606230529595016,0.8606230529595016,,,,,,
macro avg,0.8553979150585586,0.8179767334724691,0.8325602447931443,48150.0,,,,,,
weighted avg,0.8589688941391862,0.8606230529595016,0.8581404388763476,48150.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2452.0,233.0,92.0,242.0,6.0,0.0
Actual_5.0,,,,,183.0,6384.0,485.0,1126.0,13.0,0.0
Actual_6.0,,,,,116.0,453.0,6951.0,1211.0,42.0,1.0
Actual_7.0,,,,,114.0,654.0,664.0,24386.0,204.0,1.0
Actual_8.0,,,,,9.0,41.0,39.0,782.0,1246.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,20.0
