,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.4782608695652174,0.13414634146341464,0.20952380952380953,82.0,,,,,,
5.0,0.5061728395061729,0.42634315424610053,0.4628410159924741,577.0,,,,,,
6.0,0.6470588235294118,0.06666666666666667,0.12087912087912088,165.0,,,,,,
7.0,0.7209162145871006,0.8813559322033898,0.7931034482758621,1357.0,,,,,,
8.0,0.6666666666666666,0.2857142857142857,0.4,7.0,,,,,,
accuracy,0.670018281535649,0.670018281535649,0.670018281535649,0.670018281535649,,,,,,
macro avg,0.6038150827709139,0.3588452760587715,0.39726947893425335,2188.0,,,,,,
weighted avg,0.6494487182098376,0.670018281535649,0.6321876841243189,2188.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,11.0,40.0,1.0,30.0,0.0,0.0
Actual_5.0,,,,,8.0,246.0,1.0,322.0,0.0,0.0
Actual_6.0,,,,,0.0,47.0,11.0,106.0,1.0,0.0
Actual_7.0,,,,,4.0,153.0,4.0,1196.0,0.0,0.0
Actual_8.0,,,,,0.0,0.0,0.0,5.0,2.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
