,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8616780045351474,0.8260869565217391,0.8435072142064373,460.0,,,,,,
5.0,0.8912207065407485,0.8943488943488943,0.8927820602662929,2849.0,,,,,,
6.0,0.8582554517133957,0.8020378457059679,0.8291948833709556,687.0,,,,,,
7.0,0.9535719419289924,0.962844702467344,0.9581858886401386,6890.0,,,,,,
8.0,0.7,0.4883720930232558,0.5753424657534246,43.0,,,,,,
9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,,,,,,
accuracy,0.9271862422246615,0.9271862422246615,0.9271862422246615,0.9271862422246615,,,,,,
macro avg,0.8218987952308252,0.773392859788978,0.7942798631506527,10932.0,,,,,,
weighted avg,0.9263896679691385,0.9271862422246615,0.9266233801561863,10932.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,380.0,56.0,2.0,22.0,0.0,0.0
Actual_5.0,,,,,45.0,2548.0,41.0,214.0,1.0,0.0
Actual_6.0,,,,,8.0,58.0,551.0,69.0,1.0,0.0
Actual_7.0,,,,,8.0,196.0,46.0,6634.0,6.0,0.0
Actual_8.0,,,,,0.0,1.0,2.0,18.0,21.0,1.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,1.0,2.0
