,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.861544955677501,0.8102421595871377,0.8351063829787234,2519.0,,,,,,
5.0,0.8360776242281682,0.8018894529046813,0.8186267453577084,7092.0,,,,,,
6.0,0.85368519675203,0.8089671500443918,0.8307248138580763,6758.0,,,,,,
7.0,0.8838704073655868,0.9404371332193522,0.9112767815165559,21641.0,,,,,,
8.0,0.8303457106274008,0.6029753602975361,0.6986264476164826,2151.0,,,,,,
9.0,0.9285714285714286,0.8125,0.8666666666666667,16.0,,,,,,
accuracy,0.8675859322497946,0.8675859322497946,0.8675859322497946,0.8675859322497946,,,,,,
macro avg,0.8656825538703526,0.7961685426755164,0.8268379729990357,40177.0,,,,,,
weighted avg,0.8661091934749573,0.8675859322497946,0.8651946420375505,40177.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2041.0,171.0,85.0,217.0,5.0,0.0
Actual_5.0,,,,,172.0,5687.0,329.0,887.0,17.0,0.0
Actual_6.0,,,,,70.0,379.0,5467.0,809.0,33.0,0.0
Actual_7.0,,,,,77.0,524.0,480.0,20352.0,208.0,0.0
Actual_8.0,,,,,9.0,41.0,43.0,760.0,1297.0,1.0
Actual_9.0,,,,,0.0,0.0,0.0,1.0,2.0,13.0
