,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8637837837837837,0.8022088353413654,0.831858407079646,2988.0,,,,,,
5.0,0.8259279328095367,0.7844827586206896,0.804672033786459,7772.0,,,,,,
6.0,0.8463608405945668,0.7988630865989357,0.821926331508213,8268.0,,,,,,
7.0,0.8811065773219032,0.9409530662828816,0.9100469774005838,25014.0,,,,,,
8.0,0.8381658799730276,0.5888204642349597,0.6917084028937117,2111.0,,,,,,
9.0,1.0,0.7777777777777778,0.875,18.0,,,,,,
accuracy,0.8640272032228022,0.8640272032228022,0.8640272032228022,0.8640272032228022,,,,,,
macro avg,0.8758908357471363,0.7821843314761017,0.8225353587781022,46171.0,,,,,,
weighted avg,0.8625582588103072,0.8640272032228022,0.8614726214952909,46171.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2397.0,255.0,114.0,218.0,4.0,0.0
Actual_5.0,,,,,182.0,6097.0,430.0,1048.0,15.0,0.0
Actual_6.0,,,,,78.0,426.0,6605.0,1123.0,36.0,0.0
Actual_7.0,,,,,107.0,576.0,609.0,23537.0,185.0,0.0
Actual_8.0,,,,,11.0,28.0,46.0,783.0,1243.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,4.0,0.0,14.0
