,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8024691358024691,0.680628272251309,0.7365439093484419,191.0,,,,,,
5.0,0.8207630878438332,0.7753562447611064,0.7974137931034483,1193.0,,,,,,
6.0,0.7808764940239044,0.6782006920415224,0.725925925925926,289.0,,,,,,
7.0,0.8937522061418991,0.938472942920682,0.9155668052793347,2698.0,,,,,,
8.0,1.0,0.6,0.75,5.0,,,,,,
accuracy,0.8651736745886655,0.8651736745886655,0.8651736745886655,0.8651736745886655,,,,,,
macro avg,0.8595721847624211,0.7345316303949241,0.7850900867314301,4376.0,,,,,,
weighted avg,0.8625362723216903,0.8651736745886655,0.8628282392811252,4376.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,130.0,35.0,4.0,22.0,0.0,0.0
Actual_5.0,,,,,20.0,925.0,25.0,223.0,0.0,0.0
Actual_6.0,,,,,3.0,36.0,196.0,54.0,0.0,0.0
Actual_7.0,,,,,9.0,131.0,26.0,2532.0,0.0,0.0
Actual_8.0,,,,,0.0,0.0,0.0,2.0,3.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
