,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8418367346938775,0.7862491490810075,0.8130939809926082,1469.0,,,,,,
5.0,0.8438556933483653,0.7962765957446809,0.819376026272578,5640.0,,,,,,
6.0,0.8321507218008319,0.7900116144018583,0.8105338417540515,4305.0,,,,,,
7.0,0.8777639891696751,0.9363942712721146,0.9061317183951552,16618.0,,,,,,
8.0,0.8156887755102041,0.6254278728606357,0.7079988928867976,2045.0,,,,,,
9.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0,,,,,,
accuracy,0.8606413025419505,0.8606413025419505,0.8606413025419505,0.8606413025419505,,,,,,
macro avg,0.831512282050122,0.7853562135230124,0.8058187063464947,30095.0,,,,,,
weighted avg,0.8588529207191461,0.8606413025419505,0.8581165863848101,30095.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1155.0,121.0,57.0,127.0,9.0,0.0
Actual_5.0,,,,,118.0,4491.0,256.0,747.0,27.0,1.0
Actual_6.0,,,,,34.0,259.0,3401.0,591.0,20.0,0.0
Actual_7.0,,,,,58.0,420.0,348.0,15561.0,231.0,0.0
Actual_8.0,,,,,7.0,31.0,24.0,701.0,1279.0,3.0
Actual_9.0,,,,,0.0,0.0,1.0,1.0,2.0,14.0
