,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8525458248472505,0.8128155339805825,0.83220675944334,2575.0,,,,,,
5.0,0.8308521196653906,0.7906098219104155,0.8102315935015555,7412.0,,,,,,
6.0,0.8482142857142857,0.8015267175572519,0.8242098739929766,7467.0,,,,,,
7.0,0.8816489361702128,0.9370196979065454,0.9084914143793089,22642.0,,,,,,
8.0,0.796875,0.5921625544267054,0.6794338051623647,2067.0,,,,,,
9.0,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0,,,,,,
accuracy,0.862795770306795,0.862795770306795,0.862795770306795,0.862795770306795,,,,,,
macro avg,0.8564512658280948,0.8001334987413612,0.8251875284362461,42178.0,,,,,,
weighted avg,0.8608886597412074,0.862795770306795,0.8604164413015002,42178.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2093.0,196.0,77.0,200.0,9.0,0.0
Actual_5.0,,,,,180.0,5860.0,400.0,949.0,23.0,0.0
Actual_6.0,,,,,78.0,403.0,5985.0,953.0,48.0,0.0
Actual_7.0,,,,,91.0,563.0,541.0,21216.0,230.0,1.0
Actual_8.0,,,,,13.0,31.0,53.0,746.0,1224.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,2.0,13.0
