,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.842833607907743,0.7887758248535307,0.8149092067537432,3243.0,,,,,,
5.0,0.8131492272612111,0.7645307289185327,0.7880908532842235,8396.0,,,,,,
6.0,0.840190056785259,0.78125,0.8096487799430454,9280.0,,,,,,
7.0,0.8772389087903003,0.9414461038000888,0.90820911489908,27052.0,,,,,,
8.0,0.8382838283828383,0.5959643359924918,0.6966538672517828,2131.0,,,,,,
9.0,0.9090909090909091,0.8,0.851063829787234,25.0,,,,,,
accuracy,0.8575218943882539,0.8575218943882539,0.8575218943882539,0.8575218943882539,,,,,,
macro avg,0.8534644230363768,0.7786611655941074,0.8114292753198514,50127.0,,,,,,
weighted avg,0.8557793424921387,0.8575218943882539,0.8547852654788105,50127.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2558.0,295.0,143.0,242.0,5.0,0.0
Actual_5.0,,,,,241.0,6419.0,511.0,1204.0,21.0,0.0
Actual_6.0,,,,,125.0,521.0,7250.0,1340.0,44.0,0.0
Actual_7.0,,,,,103.0,631.0,675.0,25468.0,175.0,0.0
Actual_8.0,,,,,8.0,28.0,49.0,774.0,1270.0,2.0
Actual_9.0,,,,,0.0,0.0,1.0,4.0,0.0,20.0
