,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8326105810928014,0.782608695652174,0.8068356912732876,3680.0,,,,,,
5.0,0.8092991913746631,0.7463490419471777,0.7765504606929252,9655.0,,,,,,
6.0,0.8299378453038674,0.7517985611510791,0.7889381257180371,12788.0,,,,,,
7.0,0.8640274076893795,0.9374174008810573,0.8992274678111588,36320.0,,,,,,
8.0,0.8993680116674769,0.7379337854008775,0.810692375109553,5014.0,,,,,,
9.0,0.9214285714285714,0.8927335640138409,0.9068541300527241,289.0,,,,,,
accuracy,0.8517846072092817,0.8517846072092817,0.8517846072092817,0.8517846072092817,,,,,,
macro avg,0.8594452680927933,0.8081401748410344,0.8315163751096143,67746.0,,,,,,
weighted avg,0.8509467025626838,0.8517846072092817,0.8493863082225367,67746.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2880.0,296.0,161.0,338.0,5.0,0.0
Actual_5.0,,,,,258.0,7206.0,679.0,1489.0,22.0,1.0
Actual_6.0,,,,,158.0,626.0,9614.0,2327.0,62.0,1.0
Actual_7.0,,,,,155.0,726.0,1073.0,34047.0,309.0,10.0
Actual_8.0,,,,,8.0,50.0,56.0,1190.0,3700.0,10.0
Actual_9.0,,,,,0.0,0.0,1.0,14.0,16.0,258.0
