,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8389380530973451,0.8540540540540541,0.8464285714285714,555.0,,,,,,
5.0,0.8811821471652593,0.8809164908049443,0.8810492989597467,3317.0,,,,,,
6.0,0.8262032085561497,0.7882653061224489,0.8067885117493473,784.0,,,,,,
7.0,0.9452511306831707,0.954337899543379,0.9497727816311887,8322.0,,,,,,
8.0,0.8313253012048193,0.5,0.6244343891402715,138.0,,,,,,
9.0,0.6666666666666666,1.0,0.8,4.0,,,,,,
accuracy,0.916844512195122,0.916844512195122,0.916844512195122,0.916844512195122,,,,,,
macro avg,0.8315944178955684,0.8295956250874711,0.8180789254848544,13120.0,,,,,,
weighted avg,0.9161588860443971,0.916844512195122,0.9160146043780438,13120.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,474.0,50.0,8.0,23.0,0.0,0.0
Actual_5.0,,,,,66.0,2922.0,47.0,281.0,1.0,0.0
Actual_6.0,,,,,5.0,55.0,618.0,102.0,4.0,0.0
Actual_7.0,,,,,17.0,282.0,71.0,7942.0,9.0,1.0
Actual_8.0,,,,,3.0,7.0,4.0,54.0,69.0,1.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0
