,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8280649926144756,0.7862552594670407,0.8066187050359712,3565.0,,,,,,
5.0,0.8005358012664393,0.7296337402885683,0.7634421089304378,9010.0,,,,,,
6.0,0.8198181306834161,0.7341336467427804,0.7746135789893264,11912.0,,,,,,
7.0,0.8535494990843477,0.9364732301146437,0.8930906221821461,33844.0,,,,,,
8.0,0.8406341259908219,0.5827067669172933,0.6883005977796754,3458.0,,,,,,
9.0,0.8796992481203008,0.8540145985401459,0.8666666666666667,137.0,,,,,,
accuracy,0.8388722023059781,0.8388722023059781,0.8388722023059781,0.8388722023059781,,,,,,
macro avg,0.8370502996266335,0.7705362070117454,0.7987887132640372,61926.0,,,,,,
weighted avg,0.8372172220466603,0.8388722023059781,0.8349649881378635,61926.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2803.0,280.0,157.0,317.0,8.0,0.0
Actual_5.0,,,,,250.0,6574.0,653.0,1508.0,25.0,0.0
Actual_6.0,,,,,167.0,603.0,8745.0,2327.0,67.0,3.0
Actual_7.0,,,,,146.0,684.0,1041.0,31694.0,274.0,5.0
Actual_8.0,,,,,19.0,70.0,71.0,1275.0,2015.0,8.0
Actual_9.0,,,,,0.0,1.0,0.0,11.0,8.0,117.0
