,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.835880195599022,0.777209434498437,0.8054778383154174,3519.0,,,,,,
5.0,0.7943641442973399,0.7325268817204301,0.7621933453761436,8928.0,,,,,,
6.0,0.8169540229885057,0.7395300442209313,0.7763163882947254,11533.0,,,,,,
7.0,0.857020073195076,0.9326273231957519,0.8932266081026412,33144.0,,,,,,
8.0,0.7823974082073434,0.5309637229754489,0.6326129666011788,2729.0,,,,,,
9.0,0.7857142857142857,0.7096774193548387,0.7457627118644068,124.0,,,,,,
accuracy,0.8378545108958434,0.8378545108958434,0.8378545108958434,0.8378545108958434,,,,,,
macro avg,0.8120550216669288,0.7370891376609731,0.7692649764257521,59977.0,,,,,,
weighted avg,0.8352058395740043,0.8378545108958434,0.8339292340035843,59977.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2735.0,297.0,143.0,340.0,4.0,0.0
Actual_5.0,,,,,242.0,6540.0,657.0,1457.0,31.0,1.0
Actual_6.0,,,,,144.0,593.0,8529.0,2212.0,54.0,1.0
Actual_7.0,,,,,141.0,752.0,1032.0,30911.0,297.0,11.0
Actual_8.0,,,,,9.0,51.0,76.0,1133.0,1449.0,11.0
Actual_9.0,,,,,1.0,0.0,3.0,15.0,17.0,88.0
