,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8546603475513428,0.7918618266978923,0.8220635161829509,3416.0,,,,,,
5.0,0.8101391650099403,0.7612375948628137,0.7849274664419431,8565.0,,,,,,
6.0,0.8360673429743147,0.7695440548326214,0.8014276108208762,10067.0,,,,,,
7.0,0.8759267949319568,0.9426320573679426,0.9080560420315237,29703.0,,,,,,
8.0,0.8230088495575221,0.5715539947322212,0.6746113989637306,2278.0,,,,,,
9.0,0.8421052631578947,0.9142857142857143,0.8767123287671232,35.0,,,,,,
accuracy,0.856484906777153,0.856484906777153,0.856484906777153,0.856484906777153,,,,,,
macro avg,0.8403179605304952,0.7918525404632009,0.8112997272013579,54064.0,,,,,,
weighted avg,0.8544871461718414,0.856484906777153,0.8534049051919675,54064.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2705.0,279.0,131.0,286.0,15.0,0.0
Actual_5.0,,,,,210.0,6520.0,576.0,1243.0,16.0,0.0
Actual_6.0,,,,,107.0,590.0,7747.0,1575.0,47.0,1.0
Actual_7.0,,,,,134.0,608.0,759.0,27999.0,201.0,2.0
Actual_8.0,,,,,9.0,51.0,53.0,860.0,1302.0,3.0
Actual_9.0,,,,,0.0,0.0,0.0,2.0,1.0,32.0
