,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8388090349075975,0.7607076350093109,0.7978515625,1074.0,,,,,,
5.0,0.8351722585003377,0.8112423447069116,0.823033396205481,4572.0,,,,,,
6.0,0.8029496108152396,0.7338075627105953,0.7668231611893583,2671.0,,,,,,
7.0,0.876564794740891,0.9314111614772981,0.9031560743623,13457.0,,,,,,
8.0,0.7804171494785631,0.6402091254752852,0.7033942558746736,2104.0,,,,,,
9.0,0.9,0.6923076923076923,0.782608695652174,13.0,,,,,,
accuracy,0.8528734669959399,0.8528734669959399,0.8528734669959399,0.8528734669959399,,,,,,
macro avg,0.8389854747404382,0.7616142536145155,0.7961445242973312,23891.0,,,,,,
weighted avg,0.8502614794346355,0.8528734669959399,0.8501893034703655,23891.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,817.0,127.0,35.0,87.0,8.0,0.0
Actual_5.0,,,,,82.0,3709.0,189.0,569.0,23.0,0.0
Actual_6.0,,,,,33.0,195.0,1960.0,440.0,43.0,0.0
Actual_7.0,,,,,34.0,376.0,212.0,12534.0,301.0,0.0
Actual_8.0,,,,,8.0,34.0,45.0,669.0,1347.0,1.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,4.0,9.0
