,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8351548269581056,0.7667224080267558,0.7994768962510898,1196.0,,,,,,
5.0,0.8336468129571578,0.802777218756289,0.8179208529833915,4969.0,,,,,,
6.0,0.8044280442804428,0.7581410053746444,0.7805989583333334,3163.0,,,,,,
7.0,0.8775629759812537,0.9300496688741722,0.9030443082487692,14496.0,,,,,,
8.0,0.8095787651471437,0.6571428571428571,0.7254395036194415,2135.0,,,,,,
9.0,0.75,0.6666666666666666,0.7058823529411765,9.0,,,,,,
accuracy,0.8547057917436846,0.8547057917436846,0.8547057917436846,0.8547057917436846,,,,,,
macro avg,0.8183952375540172,0.7635833041402309,0.7887271453962003,25968.0,,,,,,
weighted avg,0.8526646508817951,0.8547057917436846,0.8524011924436711,25968.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,917.0,124.0,49.0,94.0,11.0,1.0
Actual_5.0,,,,,102.0,3989.0,206.0,647.0,25.0,0.0
Actual_6.0,,,,,23.0,207.0,2398.0,487.0,48.0,0.0
Actual_7.0,,,,,47.0,436.0,286.0,13482.0,245.0,0.0
Actual_8.0,,,,,9.0,28.0,42.0,652.0,1403.0,1.0
Actual_9.0,,,,,0.0,1.0,0.0,1.0,1.0,6.0
