,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8182857142857143,0.7732181425485961,0.7951138256524153,926.0,,,,,,
5.0,0.8402578796561605,0.8140180430256766,0.8269298554811421,4323.0,,,,,,
6.0,0.8010471204188482,0.7126222636236609,0.7542519102785309,2147.0,,,,,,
7.0,0.8820576195257589,0.9293619791666666,0.905092133940955,12288.0,,,,,,
8.0,0.7879609544468547,0.6992300288739173,0.7409484956654768,2078.0,,,,,,
9.0,0.6666666666666666,0.4,0.5,5.0,,,,,,
accuracy,0.8563421693389075,0.8563421693389075,0.8563421693389075,0.8563421693389075,,,,,,
macro avg,0.7993793258333338,0.7214084095397529,0.7537227035030867,21767.0,,,,,,
weighted avg,0.8540201120102835,0.8563421693389075,0.8542488691609516,21767.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,716.0,98.0,32.0,71.0,9.0,0.0
Actual_5.0,,,,,79.0,3519.0,161.0,533.0,31.0,0.0
Actual_6.0,,,,,33.0,175.0,1530.0,356.0,53.0,0.0
Actual_7.0,,,,,41.0,373.0,159.0,11420.0,295.0,0.0
Actual_8.0,,,,,6.0,23.0,28.0,567.0,1453.0,1.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,3.0,2.0
