,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8614697120158887,0.8118858212447356,0.8359431462298241,2137.0,,,,,,
5.0,0.8400256986829425,0.7944706061066383,0.8166133187602467,6583.0,,,,,,
6.0,0.844936139593452,0.8174382178907066,0.8309597523219814,5746.0,,,,,,
7.0,0.8829997588618278,0.9372888297327736,0.9093347239812263,19534.0,,,,,,
8.0,0.8237119801365611,0.619514472455649,0.7071675992539301,2142.0,,,,,,
9.0,1.0,0.7692307692307693,0.8695652173913043,13.0,,,,,,
accuracy,0.8659383211174111,0.8659383211174111,0.8659383211174111,0.8659383211174111,,,,,,
macro avg,0.8755238815484455,0.7916381194435455,0.828263959656419,36155.0,,,,,,
weighted avg,0.8643828338589739,0.8659383211174111,0.8636667836097697,36155.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1735.0,165.0,68.0,162.0,7.0,0.0
Actual_5.0,,,,,145.0,5230.0,327.0,859.0,22.0,0.0
Actual_6.0,,,,,55.0,284.0,4697.0,671.0,39.0,0.0
Actual_7.0,,,,,70.0,512.0,428.0,18309.0,215.0,0.0
Actual_8.0,,,,,9.0,35.0,39.0,732.0,1327.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,2.0,1.0,10.0
