,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8458372902817347,0.7928783382789317,0.818502067697963,3370.0,,,,,,
5.0,0.8149362936798284,0.7586611861421022,0.7857924826663423,8515.0,,,,,,
6.0,0.8269404332129964,0.7587206293344374,0.7913630229419704,9661.0,,,,,,
7.0,0.8715266426936907,0.939758186753146,0.9043572652182025,28369.0,,,,,,
8.0,0.8232984293193717,0.5843009753831863,0.6835099157837544,2153.0,,,,,,
9.0,0.896551724137931,0.896551724137931,0.896551724137931,29.0,,,,,,
accuracy,0.8523715377085053,0.8523715377085053,0.8523715377085053,0.8523715377085053,,,,,,
macro avg,0.846515135554259,0.7884785066716224,0.8133460797410272,52097.0,,,,,,
weighted avg,0.8503680937310375,0.8523715377085053,0.8493395248929116,52097.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,2672.0,267.0,139.0,281.0,10.0,1.0
Actual_5.0,,,,,227.0,6460.0,586.0,1223.0,19.0,0.0
Actual_6.0,,,,,113.0,551.0,7330.0,1618.0,49.0,0.0
Actual_7.0,,,,,138.0,617.0,762.0,26660.0,191.0,1.0
Actual_8.0,,,,,9.0,31.0,47.0,807.0,1258.0,1.0
Actual_9.0,,,,,0.0,1.0,0.0,1.0,1.0,26.0
