,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.907928388746803,0.8700980392156863,0.8886107634543179,408.0,,,,,,
5.0,0.9057180270624181,0.9061135371179039,0.9059157389216328,2290.0,,,,,,
6.0,0.8657844990548205,0.7923875432525952,0.8274616079494128,578.0,,,,,,
7.0,0.9530456852791879,0.9645871559633028,0.9587816888564654,5450.0,,,,,,
8.0,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0,,,,,,
9.0,1.0,1.0,1.0,2.0,,,,,,
accuracy,0.9333409558655386,0.9333409558655386,0.9333409558655386,0.9333409558655386,,,,,,
macro avg,0.9289421784552441,0.9036791940730629,0.9158425855779239,8746.0,,,,,,
weighted avg,0.9327684274271074,0.9333409558655386,0.9329053727577796,8746.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,355.0,33.0,4.0,16.0,0.0,0.0
Actual_5.0,,,,,17.0,2075.0,27.0,170.0,1.0,0.0
Actual_6.0,,,,,4.0,45.0,458.0,71.0,0.0,0.0
Actual_7.0,,,,,15.0,138.0,40.0,5257.0,0.0,0.0
Actual_8.0,,,,,0.0,0.0,0.0,2.0,16.0,0.0
Actual_9.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0
